year,division,status,project,project_raw,total,state_gf,gifts,debt,other_funds
2024,Academic Division,Under Construction,Shumway Hall (Mc Intire),Shumway Hall (McIntire),139.7,,25.0,89.7,25.0
2024,Academic Division,Not Yet Initiated,The Park Complex Improvements(planning/design),The Park Complex Improvements(planning/design),1.5,,,,1.5
2024,Academic Division,Not Yet Initiated,UVA Copeley Childcare Center Expansion(planning/design),UVA CopeleyChildcare Center Expansion(planning/design),1.5,,,,1.5
2024,Academic Division,Under Construction,Virginia Guesthouse (UVA Hotel & Conference Center),Virginia Guesthouse (UVA Hotel & Conference Center),167.9,,3.0,144.9,20.0
2024,College at Wise,Not Yet Initiated,<br>Zehmer Hall Renovation,<br>Zehmer Hall Renovation,23.1,23.1,,,
2024,College at Wise,Not Yet Initiated,Athletic Building,Athletic Building,24.7,,24.7,,
2024,College at Wise,Not Yet Initiated,Bowers-Sturgill Hall Renovation,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
2024,College at Wise,Not Yet Initiated,Campus Welcome Center/Public Safety Facility,Campus Welcome Center/Public SafetyFacility,5.6,5.6,,,
2024,College at Wise,In Planning/Design,Darden Hall Renovation,Darden Hall Renovation,46.1,46.1,,,
2024,College at Wise,Not Yet Initiated,Music Education Center,Music Education Center,45.2,22.6,22.6,,
2024,College at Wise,Not Yet Initiated,Sandridge Science Center Lab Wing Renovation,Sandridge Science Center Lab WingRenovation,39.1,39.1,,,
2024,College at Wise,Not Yet Initiated,Technology Classroom Building,Technology Classroom Building,66.0,66.0,,,
2024,UVA Health System,Not Yet Initiated,Consumer Ambulatory Clinic (tenant fit-out),Consumer Ambulatory Clinic (tenant fit-out),15.0,,,,15.0
2024,UVA Health System,Under Construction,Focused Ultrasound Expansion,Focused Ultrasound Expansion,16.5,,,,16.5
2024,UVA Health System,Not Yet Initiated,Multi-Disciplinary Ambulatory Clinic Building,Multi-DisciplinaryAmbulatoryClinic Building,155.0,,,77.5,77.5
2024,UVA Health System,In Planning/Design,UVA Encompass Rehabilitation Hospital Renovation & Expansion,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45.0,,,,45.0
2024,UVA Health System,In Planning/Design,UVA Hospital South Tower Fit-Out,UVA Hospital South Tower Fit-Out,120.0,,,,120.0
2024,UVA Health System,Under Construction,Zion Crossroads Shell Space Clinic Build Out,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
2025,Academic Division,Under Construction,Center for Politics,Center for Politics,10.0,,10.0,,
2025,Academic Division,In Planning/Design,Center for the Arts(planningand design),Center for the Arts(planningand design),17.3,,17.3,,
2025,Academic Division,In Planning/Design,Darden Faculty Office Building Renovation,Darden FacultyOffice BuildingRenovation,20.0,,20.0,,
2025,Academic Division,Not Yet Initiated,Darden Faculty Research Building Renovation(planning/design),Darden FacultyResearch BuildingRenovation(planning/design),1.5,,1.5,,
2025,Academic Division,Not Yet Initiated,Darden Global Innovation Nexus(planning/design),Darden Global Innovation Nexus(planning/design),5.0,,5.0,,
2025,Academic Division,Under Construction,Darden Student Housing,Darden Student Housing,155.0,,6.0,149.0,
2025,Academic Division,Not Yet Initiated,Engineering Academic Building (planning/design),EngineeringAcademic Building (planning/design),5.0,,5.0,,
2025,Academic Division,Not Yet Initiated,Environmental Health & Safety Facility (planning/design),Environmental Health & SafetyFacility (planning/design),1.5,,,,1.5
2025,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities,Fontaine Research Park Central EnergyPlant & Utilities,70.0,,,62.5,7.5
2025,Academic Division,Under Construction,Fontaine Research Park Parking Garage,Fontaine Research Park ParkingGarage,61.0,,,46.65,14.35
2025,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,Fontaine Research Park RoadwayInfrastructure,10.0,,,,10.0
2025,Academic Division,Under Construction,Hereford Residential College HVAC Upgrade,Hereford Residential College HVAC Upgrade,11.4,,,,11.4
2025,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,IvyCorridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
2025,Academic Division,Under Construction,Ivy Corridor Student Housing,IvyCorridor Student Housing,160.0,,,160.0,
2025,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),Karsh Institute of Democracy (includes Batten),82.0,,7.0,75.0,
2025,Academic Division,Under Construction,Low Temperature Hot Water Conversion,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
2025,Academic Division,In Planning/Design,Main Heat Plant Fuel Conversion,Main Heat Plant Fuel Conversion,38.0,,,38.0,
2025,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,Mem Gym Infrastructure & AccessibilityRenewal,20.5,,,20.5,
2025,Academic Division,In Planning/Design,Millmont Renovation: Transportation Administrative and Bus Service Facility,Millmont Renovation: Transportation Administrative and Bus Service Facility,10.0,,,,10.0
2025,Academic Division,Under Construction,Monroe Hall Addition HVAC Renewal,Monroe Hall Addition HVAC Renewal,9.0,,,4.5,4.5
2025,Academic Division,Under Construction,North Grounds Parking Garage,North Grounds ParkingGarage,50.0,,,19.7,30.3
2025,Academic Division,Under Construction,Olympic Sports Center,Olympic Sports Center,75.8,,,75.8,
2025,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,Paul and Diane ManningInstitute of Biotechnology,350.0,,100.0,250.0,
2025,Academic Division,Under Construction,Public Safety Building Renovation,Public SafetyBuildingRenovation,10.0,,,,10.0
2025,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,Replacement of the ChemistryAddition Chillers,12.0,,,12.0,
2025,Academic Division,In Planning/Design,Research Data Center,Research Data Center,72.0,,,37.0,35.0
2025,Academic Division,Not Yet Initiated,School of Architecture Center for Design(planning/design),School of Architecture Center for Design(planning/design),4.0,,4.0,,
2025,Academic Division,In Planning/Design,School of Data Science and Entrepreneurship Building,School of Data Science and EntrepreneurshipBuilding,77.0,,20.0,42.0,15.0
2025,Academic Division,In Planning/Design,The Park Renovation(UVA Recreation),The Park Renovation(UVA Recreation),8.0,,,8.0,
2025,Academic Division,Not Yet Initiated,UVA Copeley Childcare Center Expansion(planning/design),UVA CopeleyChildcare Center Expansion(planning/design),1.5,,,,1.5
2025,Academic Division,Under Construction,Virginia Guesthouse(UVA Hotel & Conference Center),Virginia Guesthouse(UVA Hotel & Conference Center),167.9,,3.0,144.9,20.0
2025,College at Wise,Not Yet Initiated,Bowers-Sturgill Hall Renovation,Bowers-Sturgill Hall Renovation,13.6,13.6,,,
2025,College at Wise,Not Yet Initiated,Campus Welcome Center/Public Safety Facility,Campus Welcome Center/Public SafetyFacility,5.8,5.8,,,
2025,College at Wise,In Planning/Design,Darden Hall Renovation,Darden Hall Renovation,38.7,38.7,,,
2025,College at Wise,Not Yet Initiated,Sandridge Science Center Lab Wing Renovation,Sandridge Science Center Lab WingRenovation,40.5,40.5,,,
2025,College at Wise,Not Yet Initiated,Technology Classroom Building,TechnologyClassroom Building,68.7,68.7,,,
2025,College at Wise,Not Yet Initiated,Zehmer Hall Renovation,Zehmer Hall Renovation,27.3,27.3,,,
2025,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic(tenant fit-out),Consumer AmbulatoryClinic(tenant fit-out),25.0,,,,25.0
2025,UVA Health System,In Planning/Design,Mail Order & Specialty Pharmacy Expansion,Mail Order & SpecialtyPharmacyExpansion,10.5,,,,10.5
2025,UVA Health System,Not Yet Initiated,Multi-Disciplinary Ambulatory Clinic Building,Multi-DisciplinaryAmbulatoryClinic Building,155.0,,,77.5,77.5
2025,UVA Health System,In Planning/Design,Satellite Clinical Lab at Town Center IV,Satellite Clinical Lab at Town Center IV,35.0,,,,35.0
2025,UVA Health System,In Planning/Design,UVA Community Health Gainesville Cancer Center Expansion,UVA CommunityHealth Gainesville Cancer Center Expansion,12.0,,,,12.0
2025,UVA Health System,In Planning/Design,UVA Community Health Gainesville Imaging Center Renovation,UVA CommunityHealth Gainesville ImagingCenter Renovation,10.4,,,,10.4
2025,UVA Health System,Under Construction,UVA Encompass Rehabilitation Hospital Renovation & Expansion,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45.0,,,,45.0
2025,UVA Health System,In Planning/Design,UVA Hospital South Tower Fit-Out,UVA Hospital South Tower Fit-Out,120.0,,,,120.0
2025,UVA Health System,Under Construction,Zion Crossroads Shell Space Clinic Build Out,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
2026,Academic Division,In Planning/Design,Athletics Multipurpose Practice Field,Athletics Multipurpose Practice Field,13.0,,13.0,,
2026,Academic Division,In Planning/Design,Center for the Arts(planningand design),Center for the Arts(planningand design),29.3,,29.3,,
2026,Academic Division,In Planning/Design,Computing& Innovation Center,Computing& Innovation Center,102.0,,,37.0,65.0
2026,Academic Division,In Planning/Design,Copeley Connector Road(planning/design),CopeleyConnector Road(planning/design),0.1,,,,0.1
2026,Academic Division,In Planning/Design,Darden Faculty Office Building Renovation,Darden FacultyOffice BuildingRenovation,20.0,,20.0,,
2026,Academic Division,Pending Future Funding,Darden Faculty Research Building Renovation(planning/design),Darden FacultyResearch BuildingRenovation(planning/design),1.5,,1.5,,
2026,Academic Division,Pending Future Funding,Darden Global Innovation Nexus(planning/design),Darden Global Innovation Nexus(planning/design),5.0,,5.0,,
2026,Academic Division,Under Construction,Darden Student Housing,Darden Student Housing,170.0,,6.0,149.0,15.0
2026,Academic Division,Pending Future Funding,Engineering Academic Building (planning/design),EngineeringAcademic Building (planning/design),5.0,,5.0,,
2026,Academic Division,Pending Future Funding,Environmental Health & Safety Facility (planning/design),Environmental Health & SafetyFacility (planning/design),1.5,,,,1.5
2026,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities(includes Data Center utilitydistribution),Fontaine Research Park Central EnergyPlant & Utilities(includes Data Center utilitydistribution),70.0,,,62.5,7.5
2026,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,Fontaine Research Park RoadwayInfrastructure,10.0,,,,10.0
2026,Academic Division,Under Construction,Fontaine Research Parking Garage (project includes park-wide stormwater),Fontaine Research Parking Garage (project includes park-wide stormwater),61.0,,,46.65,14.35
2026,Academic Division,Under Construction,Ivy Corridor Student Housing,IvyCorridor Student Housing,175.0,,,160.0,15.0
2026,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),Karsh Institute of Democracy (includes Batten),82.0,,7.0,75.0,
2026,Academic Division,In Planning/Design,Main Heat Plant Fuel Conversion,Main Heat Plant Fuel Conversion,38.0,,,38.0,
2026,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,Mem Gym Infrastructure & AccessibilityRenewal,20.5,,,20.5,
2026,Academic Division,In Planning/Design,Millmont Renovation: Transportation Administrative and Bus Service Facility,Millmont Renovation: Transportation Administrative and Bus Service Facility,10.0,,,,10.0
